Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
42431;TEILAG1;Teilflächen-Acker_Gruen;NINT;3
42432;TEILAG2;Teilflächen-Acker_Gruen;NINT;3
42433;TEILAG3;Teilflächen-Acker_Gruen;NINT;3
42434;TEILAG4;Teilflächen-Acker_Gruen;NINT;3
42435;TEILAG5;Teilflächen-Acker_Gruen;NINT;3
42436;TEILAG6;Teilflächen-Acker_Gruen;NINT;3
42437;TEILAG7;Teilflächen-Acker_Gruen;NINT;3
42438;TEILAG8;Teilflächen-Acker_Gruen;NINT;3
#;;;;
42441;TEILBW1;Teilflächen-BW;NINT;7
42442;TEILBW2;Teilflächen-BW;NINT;7
42443;TEILBW3;Teilflächen-BW;NINT;7
42444;TEILBW4;Teilflächen-BW;NINT;7
42445;TEILBW5;Teilflächen-BW;NINT;7
42446;TEILBW6;Teilflächen-BW;NINT;7
42447;TEILBW7;Teilflächen-BW;NINT;7
42448;TEILBW8;Teilflächen-BW;NINT;7
#;;;;
42451;TEILBO1;Teilflächen-BG;KINT;4
42452;TEILBO2;Teilflächen-BG;KINT;4
42453;TEILBO3;Teilflächen-BG;KINT;4
42454;TEILBO4;Teilflächen-BG;KINT;4
42455;TEILBO5;Teilflächen-BG;KINT;4
42456;TEILBO6;Teilflächen-BG;KINT;4
42457;TEILBO7;Teilflächen-BG;KINT;4
42458;TEILBO8;Teilflächen-BG;KINT;4
#;;;;
42461;TEILFS1;Teilflächen -Flurstück-;FSTR;15
42462;TEILFS2;Teilflächen -Flurstück-;FSTR;15
42463;TEILFS3;Teilflächen -Flurstück-;FSTR;15
42464;TEILFS4;Teilflächen -Flurstück-;FSTR;15
42465;TEILFS5;Teilflächen -Flurstück-;FSTR;15
42466;TEILFS6;Teilflächen -Flurstück-;FSTR;15
42467;TEILFS7;Teilflächen -Flurstück-;FSTR;15
42468;TEILFS8;Teilflächen -Flurstück-;FSTR;15
#;;;;
